f / Hz,Re(V) / V,Im(V) / V
2.30E+00,-1.88729353671878e-01,-9.71942040068828e-01
2.30E+00,-1.88431996593103e-01,-9.68296417320763e-01
2.31E+00,-1.88130106534681e-01,-9.64677849097150e-01
2.31E+00,-1.87823822269093e-01,-9.61086058460562e-01
2.32E+00,-1.87513279280349e-01,-9.57520771792533e-01
2.32E+00,-1.87198609842563e-01,-9.53981718753806e-01
2.33E+00,-1.86879943096557e-01,-9.50468632244863e-01
2.33E+00,-1.86557405124557e-01,-9.46981248366750e-01
2.34E+00,-1.86231119023012e-01,-9.43519306382216e-01
2.34E+00,-1.85901204973613e-01,-9.40082548677158e-01
2.35E+00,-1.85567780312531e-01,-9.36670720722400e-01
2.35E+00,-1.85230959597929e-01,-9.33283571035783e-01
2.36E+00,-1.84890854675808e-01,-9.29920851144602e-01
2.36E+00,-1.84547574744211e-01,-9.26582315548374e-01
2.37E+00,-1.84201226415833e-01,-9.23267721681958e-01
2.37E+00,-1.83851913779087e-01,-9.19976829879008e-01
2.37E+00,-1.83499738457649e-01,-9.16709403335796e-01
2.38E+00,-1.83144799668552e-01,-9.13465208075370e-01
2.38E+00,-1.82787194278818e-01,-9.10244012912087e-01
2.39E+00,-1.82427016860722e-01,-9.07045589416490e-01
2.39E+00,-1.82064359745676e-01,-9.03869711880559e-01
2.40E+00,-1.81699313076801e-01,-9.00716157283319e-01
2.40E+00,-1.81331964860204e-01,-8.97584705256811e-01
2.41E+00,-1.80962401014993e-01,-8.94475138052437e-01
2.41E+00,-1.80590705422077e-01,-8.91387240507657e-01
2.42E+00,-1.80216959971766e-01,-8.88320800013066e-01
2.42E+00,-1.79841244610209e-01,-8.85275606479831e-01
2.43E+00,-1.79463637384702e-01,-8.82251452307495e-01
2.43E+00,-1.79084214487891e-01,-8.79248132352149e-01
2.44E+00,-1.78703050300900e-01,-8.76265443894962e-01
2.44E+00,-1.78320217435411e-01,-8.73303186611089e-01
2.45E+00,-1.77935786774718e-01,-8.70361162538926e-01
2.45E+00,-1.77549827513803e-01,-8.67439176049745e-01
2.46E+00,-1.77162407198419e-01,-8.64537033817670e-01
2.46E+00,-1.76773591763243e-01,-8.61654544790032e-01
2.47E+00,-1.76383445569111e-01,-8.58791520158062e-01
2.47E+00,-1.75992031439345e-01,-8.55947773327961e-01
2.48E+00,-1.75599410695211e-01,-8.53123119892299e-01
2.48E+00,-1.75205643190526e-01,-8.50317377601790e-01
2.49E+00,-1.74810787345431e-01,-8.47530366337394e-01
2.49E+00,-1.74414900179359e-01,-8.44761908082788e-01
2.50E+00,-1.74018037343207e-01,-8.42011826897156e-01
2.50E+00,-1.73620253150744e-01,-8.39279948888344e-01
