f / Hz,Re(V) / V,Im(V) / V
5.14E-01,2.17176086896708e+00,-1.24618665748141e-01
5.18E-01,2.17914318380560e+00,-1.29051912984214e-01
5.23E-01,2.18660238402801e+00,-1.33608700018258e-01
5.28E-01,2.19413805356427e+00,-1.38291864123880e-01
5.33E-01,2.20174972657832e+00,-1.43104299552056e-01
5.38E-01,2.20943688492101e+00,-1.48048958152952e-01
5.42E-01,2.21719895548354e+00,-1.53128849957932e-01
5.47E-01,2.22503530744866e+00,-1.58347043717376e-01
5.52E-01,2.23294524943704e+00,-1.63706667389747e-01
5.57E-01,2.24092802654571e+00,-1.69210908576929e-01
5.62E-01,2.24898281727620e+00,-1.74863014900644e-01
5.67E-01,2.25710873034945e+00,-1.80666294314379e-01
5.71E-01,2.26530480140502e+00,-1.86624115344893e-01
5.76E-01,2.27356998958206e+00,-1.92739907257088e-01
5.81E-01,2.28190317397962e+00,-1.99017160135566e-01
5.86E-01,2.29030314999397e+00,-2.05459424875877e-01
5.91E-01,2.29876862553087e+00,-2.12070313078008e-01
5.95E-01,2.30729821709069e+00,-2.18853496834287e-01
6.00E-01,2.31589044572469e+00,-2.25812708403415e-01
6.05E-01,2.32454373286087e+00,-2.32951739761880e-01
6.10E-01,2.33325639599798e+00,-2.40274442023606e-01
6.15E-01,2.34202664426684e+00,-2.47784724718118e-01
6.19E-01,2.35085257385803e+00,-2.55486554917115e-01
6.24E-01,2.35973216331585e+00,-2.63383956198768e-01
6.29E-01,2.36866326869830e+00,-2.71481007438583e-01
6.34E-01,2.37764361860385e+00,-2.79781841415145e-01
6.39E-01,2.38667080906570e+00,-2.88290643218548e-01
6.43E-01,2.39574229831529e+00,-2.97011648448713e-01
6.48E-01,2.40485540141692e+00,-3.05949141190369e-01
6.53E-01,2.41400728477639e+00,-3.15107451750826e-01
6.58E-01,2.42319496052701e+00,-3.24490954146215e-01
6.63E-01,2.43241528079727e+00,-3.34104063321272e-01
6.68E-01,2.44166493186508e+00,-3.43951232087270e-01
6.72E-01,2.45094042820473e+00,-3.54036947762180e-01
6.77E-01,2.46023810643333e+00,-3.64365728496614e-01
6.82E-01,2.46955411916477e+00,-3.74942119268683e-01
6.87E-01,2.47888442878031e+00,-3.85770687530448e-01
6.92E-01,2.48822480112620e+00,-3.96856018488185e-01
6.96E-01,2.49757079914984e+00,-4.08202709998387e-01
7.01E-01,2.50691777648756e+00,-4.19815367061081e-01
7.06E-01,2.51626087101858e+00,-4.31698595891722e-01
7.11E-01,2.52559499840116e+00,-4.43856997552823e-01
7.16E-01,2.53491484560868e+00,-4.56295161126305e-01
7.20E-01,2.54421486448528e+00,-4.69017656407455e-01
7.25E-01,2.55348926534229e+00,-4.82029026101588e-01
7.30E-01,2.56273201061891e+00,-4.95333777504500e-01
7.35E-01,2.57193680863240e+00,-5.08936373648210e-01
7.40E-01,2.58109710744550e+00,-5.22841223893832e-01
7.44E-01,2.59020608888066e+00,-5.37052673954047e-01
7.49E-01,2.59925666271331e+00,-5.51574995328266e-01
7.54E-01,2.60824146107855e+00,-5.66412374134600e-01
7.59E-01,2.61715283312836e+00,-5.81568899323751e-01
7.64E-01,2.62598283997875e+00,-5.97048550261264e-01
7.69E-01,2.63472324998893e+00,-6.12855183666155e-01
7.73E-01,2.64336553441732e+00,-6.28992519895584e-01
7.78E-01,2.65190086350175e+00,-6.45464128567404e-01
7.83E-01,2.66032010301388e+00,-6.62273413514600e-01
7.88E-01,2.66861381134068e+00,-6.79423597068315e-01
7.93E-01,2.67677223714820e+00,-6.96917703668973e-01
7.97E-01,2.68478531768567e+00,-7.14758542808333e-01
8.02E-01,2.69264267779028e+00,-7.32948691308773e-01
8.07E-01,2.70033362965564e+00,-7.51490474950122e-01
8.12E-01,2.70784717342868e+00,-7.70385949458508e-01
8.17E-01,2.71517199870240e+00,-7.89636880876495e-01
8.21E-01,2.72229648697319e+00,-8.09244725338667e-01
8.26E-01,2.72920871513345e+00,-8.29210608282345e-01
8.31E-01,2.73589646007113e+00,-8.49535303128838e-01
8.36E-01,2.74234720444890e+00,-8.70219209476884e-01
8.41E-01,2.74854814373634e+00,-8.91262330856414e-01
8.45E-01,2.75448619456819e+00,-9.12664252097762e-01
8.50E-01,2.76014800450145e+00,-9.34424116378627e-01
8.55E-01,2.76551996324329e+00,-9.56540602018699e-01
8.60E-01,2.77058821541959e+00,-9.79011899099766e-01
8.65E-01,2.77533867495194e+00,-1.00183568599711e+00
8.70E-01,2.77975704110782e+00,-1.02500910591639e+00
8.74E-01,2.78382881628451e+00,-1.04852874353870e+00
8.79E-01,2.78753932558291e+00,-1.07239060188482e+00
8.84E-01,2.79087373822148e+00,-1.09659007951859e+00
8.89E-01,2.79381709083413e+00,-1.12112194821737e+00
8.94E-01,2.79635431268815e+00,-1.14598033124626e+00
8.98E-01,2.79847025284977e+00,-1.17115868238050e+00
9.03E-01,2.80014970931511e+00,-1.19664976582845e+00
9.08E-01,2.80137746011382e+00,-1.22244563721453e+00
9.13E-01,2.80213829638041e+00,-1.24853762578812e+00
9.18E-01,2.80241705737610e+00,-1.27491631803051e+00
9.22E-01,2.80219866742927e+00,-1.30157154283665e+00
9.27E-01,2.80146817474837e+00,-1.32849235845264e+00
9.32E-01,2.80021079204484e+00,-1.35566704135266e+00
9.37E-01,2.79841193888706e+00,-1.38308307724050e+00
9.42E-01,2.79605728568853e+00,-1.41072715436093e+00
9.46E-01,2.79313279921572e+00,-1.43858515930457e+00
9.51E-01,2.78962478948174e+00,-1.46664217548674e+00
9.56E-01,2.78551995787332e+00,-1.49488248447561e+00
9.61E-01,2.78080544633893e+00,-1.52328957033775e+00
9.66E-01,2.77546888744666e+00,-1.55184612716032e+00
9.71E-01,2.76949845510135e+00,-1.58053406989768e+00
9.75E-01,2.76288291569170e+00,-1.60933454867664e+00
9.80E-01,2.75561167942014e+00,-1.63822796667914e+00
9.85E-01,2.74767485155104e+00,-1.66719400170296e+00
9.90E-01,2.73906328329739e+00,-1.69621163148113e+00
9.95E-01,2.72976862205111e+00,-1.72525916281814e+00
9.99E-01,2.71978336065033e+00,-1.75431426457717e+00
1.00E+00,2.70910088536606e+00,-1.78335400452597e+00
1.01E+00,2.69771552228256e+00,-1.81235489002108e+00
1.01E+00,2.68562258174046e+00,-1.84129291248093e+00
1.02E+00,2.67281840050879e+00,-1.87014359556710e+00
1.02E+00,2.65930038135233e+00,-1.89888204696179e+00
1.03E+00,2.64506702966472e+00,-1.92748301359664e+00
1.03E+00,2.63011798684423e+00,-1.95592094015577e+00
1.04E+00,2.61445406010020e+00,-1.98417003064299e+00
1.04E+00,2.59807724839153e+00,-2.01220431277092e+00
1.05E+00,2.58099076421711e+00,-2.03999770489878e+00
1.05E+00,2.56319905099839e+00,-2.06752408521529e+00
1.06E+00,2.54470779581983e+00,-2.09475736283514e+00
1.06E+00,2.52552393732019e+00,-2.12167155045152e+00
1.07E+00,2.50565566855919e+00,-2.14824083816355e+00
1.07E+00,2.48511243471767e+00,-2.17443966807744e+00
1.08E+00,2.46390492552606e+00,-2.20024280926264e+00
1.08E+00,2.44204506235404e+00,-2.22562543263172e+00
1.09E+00,2.41954597993505e+00,-2.25056318530235e+00
1.09E+00,2.39642200274055e+00,-2.27503226399560e+00
1.10E+00,2.37268861606109e+00,-2.29900948702335e+00
1.10E+00,2.34836243189412e+00,-2.32247236442172e+00
1.11E+00,2.32346114978053e+00,-2.34539916579565e+00
