in s,C1 in V,C2 in V
-4.578240E+00,-2.35352E+00,-2.32910E+00
-4.577280E+00,-2.29492E+00,-2.35840E+00
-4.576320E+00,-2.35352E+00,-2.36816E+00
-4.575360E+00,-2.35352E+00,-2.39746E+00
-4.574400E+00,-2.29492E+00,-2.39746E+00
-4.573440E+00,-2.27539E+00,-2.39746E+00
-4.572480E+00,-2.29492E+00,-2.42676E+00
-4.571520E+00,-2.29492E+00,-2.44629E+00
-4.570560E+00,-2.33398E+00,-2.44629E+00
-4.569600E+00,-2.27539E+00,-2.42676E+00
-4.568640E+00,-2.25586E+00,-2.46582E+00
-4.567680E+00,-2.33398E+00,-2.47559E+00
-4.566720E+00,-2.31445E+00,-2.44629E+00
-4.565760E+00,-2.25586E+00,-2.48535E+00
-4.564800E+00,-2.25586E+00,-2.47559E+00
-4.563840E+00,-2.29492E+00,-2.50488E+00
-4.562880E+00,-2.23633E+00,-2.51465E+00
-4.561920E+00,-2.19727E+00,-2.53418E+00
-4.560960E+00,-2.27539E+00,-2.52441E+00
-4.560000E+00,-2.23633E+00,-2.54395E+00
-4.559040E+00,-2.23633E+00,-2.52441E+00
-4.558080E+00,-2.25586E+00,-2.54395E+00
-4.557120E+00,-2.19727E+00,-2.57324E+00
-4.556160E+00,-2.23633E+00,-2.60254E+00
-4.555200E+00,-2.25586E+00,-2.59277E+00
-4.554240E+00,-2.19727E+00,-2.59277E+00
-4.553280E+00,-2.21680E+00,-2.60254E+00
-4.552320E+00,-2.21680E+00,-2.61230E+00
-4.551360E+00,-2.21680E+00,-2.65137E+00
-4.550400E+00,-2.19727E+00,-2.63184E+00
-4.549440E+00,-2.25586E+00,-2.64160E+00
-4.548480E+00,-2.19727E+00,-2.63184E+00
-4.547520E+00,-2.19727E+00,-2.67090E+00
-4.546560E+00,-2.11914E+00,-2.67090E+00
-4.545600E+00,-2.15820E+00,-2.68066E+00
-4.544640E+00,-2.19727E+00,-2.70020E+00
-4.543680E+00,-2.21680E+00,-2.70020E+00
-4.542720E+00,-2.15820E+00,-2.69043E+00
-4.541760E+00,-2.15820E+00,-2.67090E+00
-4.540800E+00,-2.13867E+00,-2.72949E+00
-4.539840E+00,-2.13867E+00,-2.70996E+00
-4.538880E+00,-2.08008E+00,-2.73926E+00
-4.537920E+00,-2.09961E+00,-2.74902E+00
-4.536960E+00,-2.11914E+00,-2.75879E+00
-4.536000E+00,-2.13867E+00,-2.76855E+00
-4.535040E+00,-2.08008E+00,-2.75879E+00
-4.534080E+00,-2.08008E+00,-2.77832E+00
-4.533120E+00,-2.08008E+00,-2.76855E+00
-4.532160E+00,-2.08008E+00,-2.75879E+00
-4.531200E+00,-2.08008E+00,-2.77832E+00
-4.530240E+00,-2.02148E+00,-2.80762E+00
-4.529280E+00,-2.02148E+00,-2.82715E+00
-4.528320E+00,-2.04102E+00,-2.78809E+00
-4.527360E+00,-1.98242E+00,-2.80762E+00
-4.526400E+00,-2.04102E+00,-2.82715E+00
-4.525440E+00,-2.02148E+00,-2.80762E+00
-4.524480E+00,-2.00195E+00,-2.84668E+00
-4.523520E+00,-2.00195E+00,-2.83691E+00
-4.522560E+00,-2.02148E+00,-2.88574E+00
-4.521600E+00,-1.98242E+00,-2.83691E+00
-4.520640E+00,-1.98242E+00,-2.85645E+00
-4.519680E+00,-1.96289E+00,-2.83691E+00
-4.518720E+00,-1.98242E+00,-2.84668E+00
-4.517760E+00,-1.96289E+00,-2.83691E+00
-4.516800E+00,-1.94336E+00,-2.89551E+00
-4.515840E+00,-1.96289E+00,-2.85645E+00
-4.514880E+00,-1.92383E+00,-2.87598E+00
-4.513920E+00,-1.94336E+00,-2.87598E+00
-4.512960E+00,-1.90430E+00,-2.89551E+00
-4.512000E+00,-1.86523E+00,-2.89551E+00
-4.511040E+00,-1.90430E+00,-2.88574E+00
-4.510080E+00,-1.90430E+00,-2.86621E+00
-4.509120E+00,-1.92383E+00,-2.90527E+00
-4.508160E+00,-1.86523E+00,-2.93457E+00
-4.507200E+00,-1.86523E+00,-2.90527E+00
-4.506240E+00,-1.86523E+00,-2.90527E+00
-4.505280E+00,-1.80664E+00,-2.93457E+00
-4.504320E+00,-1.82617E+00,-2.96387E+00
-4.503360E+00,-1.86523E+00,-2.89551E+00
-4.502400E+00,-1.84570E+00,-2.96387E+00
-4.501440E+00,-1.80664E+00,-2.93457E+00
-4.500480E+00,-1.80664E+00,-2.97363E+00
-4.499520E+00,-1.78711E+00,-2.97363E+00
-4.498560E+00,-1.74805E+00,-2.94434E+00
-4.497600E+00,-1.74805E+00,-2.94434E+00
-4.496640E+00,-1.76758E+00,-2.93457E+00
-4.495680E+00,-1.70898E+00,-2.96387E+00
-4.494720E+00,-1.72852E+00,-2.94434E+00
-4.493760E+00,-1.72852E+00,-2.94434E+00
-4.492800E+00,-1.78711E+00,-2.95410E+00
-4.491840E+00,-1.74805E+00,-2.95410E+00
-4.490880E+00,-1.68945E+00,-2.94434E+00
