time	V(y)	V(recti)
2.206773332899949e+00	2.728198e+00	1.833996e+00
2.226773332899949e+00	2.723532e+00	1.523269e+00
2.246773332899949e+00	2.662166e+00	1.188248e+00
2.266773332899948e+00	2.544443e+00	8.388056e-01
2.286773332899948e+00	2.372675e+00	4.933828e-01
2.306773332899947e+00	2.156359e+00	1.871543e-01
2.318095938999502e+00	2.015973e+00	6.660642e-02
2.325936234166699e+00	1.911627e+00	2.388700e-02
2.329392222871313e+00	1.864322e+00	1.518568e-02
2.332819289467215e+00	1.816728e+00	1.046254e-02
2.336913845219335e+00	1.759335e+00	6.747960e-03
2.341534894005560e+00	1.694023e+00	4.061004e-03
2.345914943521004e+00	1.631668e+00	2.485137e-03
2.350258353023809e+00	1.569467e+00	1.531510e-03
2.354492682639675e+00	1.508557e+00	9.567926e-04
2.358836509354264e+00	1.445867e+00	5.914499e-04
2.363133737099533e+00	1.383719e+00	3.669889e-04
2.367481194782211e+00	1.320780e+00	2.265267e-04
2.371777368465025e+00	1.258587e+00	1.405442e-04
2.376110420936349e+00	1.195927e+00	8.689490e-05
2.380412538710351e+00	1.133844e+00	5.388860e-05
2.384742928740542e+00	1.071546e+00	3.332551e-05
2.389049440094809e+00	1.009842e+00	2.065712e-05
2.393376729408965e+00	9.481510e-01	1.277783e-05
2.397684453951046e+00	8.871043e-01	7.919391e-06
2.406317433756753e+00	7.660771e-01	3.036070e-06
2.415496961039901e+00	6.397682e-01	1.115612e-06
2.420927663225916e+00	5.664366e-01	6.250217e-07
2.427993374142075e+00	4.727838e-01	2.977429e-07
2.436812069213516e+00	3.590556e-01	1.181862e-07
2.449355572241286e+00	2.043484e-01	3.189103e-08
2.468219196579749e+00	-1.531104e-02	3.645054e-10
2.480999999500002e+00	-1.561515e-01	3.739290e-11
2.483999999499995e+00	-1.870969e-01	-3.752840e-09
2.493999999500017e+00	-2.860251e-01	-1.377581e-09
2.499999999500004e+00	-3.422538e-01	-2.996330e-09
2.500999999500001e+00	-3.514098e-01	2.825841e-06
2.501099999500001e+00	-3.523196e-01	9.452279e-07
2.501299999500000e+00	-3.541375e-01	-2.965804e-09
2.501999999499999e+00	-3.604830e-01	-1.825822e-08
2.510634285214278e+00	-4.344532e-01	-8.961871e-09
2.519268570928557e+00	-5.035357e-01	-2.017971e-09
2.527902856642835e+00	-5.677307e-01	2.573480e-09
2.536537142357114e+00	-6.270381e-01	4.812483e-09
2.545171428071393e+00	-6.814579e-01	4.699038e-09
2.553805713785672e+00	-7.309902e-01	2.233144e-09
2.562439999499951e+00	-7.756349e-01	-2.585199e-09
2.582439999499950e+00	-8.603746e-01	-2.242184e-09
2.602439999499950e+00	-9.187976e-01	-1.803335e-09
2.622439999499949e+00	-9.522118e-01	-1.278618e-09
2.642439999499949e+00	-9.623259e-01	2.530490e-10
2.662439999499949e+00	-9.533017e-01	1.495126e-06
2.673176075178128e+00	-9.408846e-01	5.103882e-05
2.678701679399538e+00	-9.319475e-01	3.628639e-04
2.681676452404931e+00	-9.264385e-01	1.353754e-03
2.683588457210076e+00	-9.226493e-01	3.568215e-03
2.684955616321776e+00	-9.198138e-01	7.691790e-03
2.686397927111660e+00	-9.166957e-01	1.639740e-02
2.687850288082684e+00	-9.133779e-01	3.115544e-02
2.690282632202090e+00	-9.073576e-01	6.537283e-02
2.693582772271267e+00	-8.983596e-01	1.190837e-01
2.696635664410087e+00	-8.888922e-01	1.715715e-01
2.702368820846180e+00	-8.675553e-01	2.726684e-01
2.713835133718367e+00	-8.126622e-01	4.784478e-01
2.733835133718367e+00	-6.869658e-01	8.386219e-01
2.753835133718367e+00	-5.251245e-01	1.191622e+00
2.773835133718366e+00	-3.254483e-01	1.527982e+00
2.793835133718366e+00	-9.219620e-02	1.839099e+00
2.813835133718365e+00	1.691245e-01	2.117382e+00
2.833835133718365e+00	4.519478e-01	2.356178e+00
2.853835133718365e+00	7.488591e-01	2.549881e+00
2.873835133718364e+00	1.051824e+00	2.693974e+00
2.893835133718364e+00	1.354698e+00	2.795639e+00
2.909329731163268e+00	1.583073e+00	2.831903e+00
2.917666666199999e+00	1.701645e+00	2.835754e+00
2.918666666199998e+00	1.715646e+00	2.835591e+00
2.918766666199998e+00	1.717041e+00	2.835562e+00
2.918966666199998e+00	1.719830e+00	2.835501e+00
2.919666666199998e+00	1.729579e+00	2.835250e+00
2.925443809057134e+00	1.808567e+00	2.829000e+00
2.931220951914270e+00	1.884866e+00	2.817984e+00
2.936998094771406e+00	1.958475e+00	2.802202e+00
2.942775237628542e+00	2.029393e+00	2.781655e+00
2.948552380485678e+00	2.097622e+00	2.756342e+00
2.954329523342814e+00	2.163160e+00	2.726263e+00
2.960106666199950e+00	2.226009e+00	2.691418e+00
2.980106666199950e+00	2.421661e+00	2.546301e+00
3.000106666199949e+00	2.573905e+00	2.351772e+00
3.020106666199949e+00	2.677455e+00	2.112430e+00
3.040106666199948e+00	2.728249e+00	1.833996e+00
3.060106666199948e+00	2.723582e+00	1.523269e+00
3.080106666199947e+00	2.662213e+00	1.188248e+00
3.100106666199947e+00	2.544486e+00	8.388056e-01
3.120106666199947e+00	2.372713e+00	4.933828e-01
3.140106666199946e+00	2.156392e+00	1.871543e-01
3.151429272304179e+00	2.016003e+00	6.660642e-02
3.159269567471993e+00	1.911655e+00	2.388700e-02
3.162725556187130e+00	1.864350e+00	1.518568e-02
3.166152622780865e+00	1.816755e+00	1.046254e-02
3.170247178535471e+00	1.759360e+00	6.747960e-03
3.174868227317640e+00	1.694048e+00	4.061004e-03
3.179248276835583e+00	1.631691e+00	2.485137e-03
