time	V(y)	V(triangle)
1.059388685458984e-02	1.144546e-02	3.837555e-02
1.066616803472442e-02	1.127506e-02	3.866467e-02
1.073444727650852e-02	1.111433e-02	3.893779e-02
1.080910297294224e-02	1.093878e-02	3.923641e-02
1.087675829462498e-02	1.077976e-02	3.950703e-02
1.094382257895532e-02	1.062217e-02	3.977529e-02
1.103803285581861e-02	1.040091e-02	4.015213e-02
1.111084230081261e-02	1.023012e-02	4.044337e-02
1.118335913580992e-02	1.006029e-02	4.073344e-02
1.126829040133970e-02	9.861641e-03	4.107316e-02
1.133971799339406e-02	9.694686e-03	4.135887e-02
1.141046065349016e-02	9.529382e-03	4.164184e-02
1.148974826823945e-02	9.344189e-03	4.195899e-02
1.156162156499718e-02	9.176482e-03	4.224649e-02
1.163262705396306e-02	9.011040e-03	4.253051e-02
1.170462688646623e-02	8.843516e-03	4.281851e-02
1.177762546806704e-02	8.673823e-03	4.311050e-02
1.185054912437167e-02	8.504367e-03	4.340219e-02
1.191887677862624e-02	8.345633e-03	4.367551e-02
1.199429711632760e-02	8.170535e-03	4.397719e-02
1.206234714355503e-02	8.012738e-03	4.424939e-02
1.212978973320133e-02	7.856593e-03	4.451916e-02
1.222317589228084e-02	7.640655e-03	4.489270e-02
1.229606176070419e-02	7.472229e-03	4.518425e-02
1.236862506112502e-02	7.304607e-03	4.547450e-02
1.245323786949015e-02	7.109254e-03	4.581295e-02
1.252494434742601e-02	6.943885e-03	4.609978e-02
1.259592433099144e-02	6.780447e-03	4.638370e-02
1.267497844332510e-02	6.598664e-03	4.669992e-02
1.274725354039674e-02	6.432601e-03	4.698901e-02
1.281853122968002e-02	6.268883e-03	4.727412e-02
1.289063151656578e-02	6.103332e-03	4.756252e-02
1.296393895396619e-02	5.935152e-03	4.785576e-02
1.303719638319123e-02	5.767318e-03	4.814878e-02
1.310581721015325e-02	5.610344e-03	4.842327e-02
1.318148713257017e-02	5.437434e-03	4.872595e-02
1.324981330829544e-02	5.281382e-03	4.899925e-02
1.331751404488557e-02	5.126806e-03	4.927006e-02
1.341238216695828e-02	4.910333e-03	4.964953e-02
1.348575248112027e-02	4.743124e-03	4.994301e-02
1.355878064998706e-02	4.576970e-03	5.023512e-02
1.364570742316218e-02	4.379456e-03	5.058283e-02
1.371779305416254e-02	4.215777e-03	5.087117e-02
1.378915283488169e-02	4.053801e-03	5.115661e-02
1.387177821733232e-02	3.866348e-03	5.148711e-02
1.394389946453245e-02	3.702906e-03	5.177560e-02
1.401525983214569e-02	3.541439e-03	5.206104e-02
1.409131590051160e-02	3.369593e-03	5.236526e-02
1.416557934304308e-02	3.201943e-03	5.266232e-02
1.423759138287650e-02	3.039434e-03	5.295037e-02
1.430807640025478e-02	2.880425e-03	5.323230e-02
1.438198495598897e-02	2.713829e-03	5.352794e-02
1.445720230230307e-02	2.544516e-03	5.382881e-02
1.452571382240109e-02	2.390538e-03	5.410286e-02
1.460353684142390e-02	2.215839e-03	5.441415e-02
1.467267528138905e-02	2.060721e-03	5.469070e-02
1.474115535649645e-02	1.907129e-03	5.496462e-02
1.483239537730441e-02	1.702612e-03	5.532958e-02
1.490544241978498e-02	1.539077e-03	5.562177e-02
1.497806940369983e-02	1.376752e-03	5.591228e-02
1.506171641886667e-02	1.190055e-03	5.624687e-02
1.513404668143536e-02	1.028739e-03	5.653619e-02
1.520554027796805e-02	8.693445e-04	5.682216e-02
1.528379516387446e-02	6.949563e-04	5.713518e-02
1.535721957098346e-02	5.315020e-04	5.742888e-02
1.542917779670461e-02	3.715564e-04	5.771671e-02
1.550128417056840e-02	2.115218e-04	5.800514e-02
1.557525004071891e-02	4.752249e-05	5.830100e-02
1.564938190154663e-02	-1.167741e-04	5.859753e-02
1.571855871684846e-02	-2.700394e-04	5.887423e-02
1.579499227432635e-02	-4.392608e-04	5.917997e-02
1.586399943919758e-02	-5.918422e-04	5.945600e-02
1.593234131938814e-02	-7.427072e-04	5.972936e-02
1.601940650343536e-02	-9.346536e-04	6.007763e-02
1.609139896184786e-02	-1.093261e-03	6.036559e-02
1.616293256144274e-02	-1.250798e-03	6.065173e-02
1.624750040099698e-02	-1.436936e-03	6.099000e-02
1.632014524573222e-02	-1.596643e-03	6.128058e-02
1.639204130470517e-02	-1.754444e-03	6.156817e-02
1.647079914407712e-02	-1.927055e-03	6.188320e-02
1.654439738702251e-02	-2.088217e-03	6.217759e-02
1.661652869834995e-02	-2.246107e-03	6.246611e-02
1.668947403654286e-02	-2.405715e-03	6.275789e-02
1.676378658386568e-02	-2.568163e-03	6.305514e-02
1.683782489061159e-02	-2.729774e-03	6.335130e-02
1.690752986774768e-02	-2.881683e-03	6.363012e-02
1.698368770889402e-02	-3.047465e-03	6.393475e-02
1.705288456602716e-02	-3.198014e-03	6.421154e-02
1.712140898745673e-02	-3.347052e-03	6.448564e-02
1.720598989749789e-02	-3.530893e-03	6.482396e-02
1.727747489417197e-02	-3.686071e-03	6.510990e-02
1.734845790647910e-02	-3.839899e-03	6.539384e-02
1.743407389228935e-02	-4.025176e-03	6.573629e-02
1.750704417872129e-02	-4.182962e-03	6.602818e-02
1.757931018503456e-02	-4.339164e-03	6.631724e-02
1.765903874396813e-02	-4.511406e-03	6.663615e-02
1.773269630342966e-02	-4.670356e-03	6.693079e-02
1.780497840342221e-02	-4.826087e-03	6.721991e-02
1.787918485394258e-02	-4.985717e-03	6.751674e-02
1.795391379427969e-02	-5.146312e-03	6.781565e-02
1.802766944756584e-02	-5.304745e-03	6.811067e-02
1.809809584141320e-02	-5.455970e-03	6.839238e-02
1.817383030543951e-02	-5.618460e-03	6.869532e-02
1.824327358494671e-02	-5.767244e-03	6.897309e-02
1.831205606698916e-02	-5.914370e-03	6.924822e-02
1.839371069796414e-02	-6.088802e-03	6.957484e-02
1.846453684571259e-02	-6.240001e-03	6.985815e-02
1.853481500466003e-02	-6.389972e-03	7.013926e-02
1.862243183959222e-02	-6.576828e-03	7.048973e-02
1.869583675175690e-02	-6.733176e-03	7.078335e-02
1.876860720206608e-02	-6.887905e-03	7.107443e-02
1.885024645381606e-02	-7.061233e-03	7.140099e-02
1.892380561731244e-02	-7.217270e-03	7.169522e-02
1.899618145096937e-02	-7.370735e-03	7.198472e-02
1.907277063907742e-02	-7.533053e-03	7.229108e-02
1.914831426236674e-02	-7.692984e-03	7.259326e-02
1.922151939777450e-02	-7.847717e-03	7.288608e-02
1.929335263051257e-02	-7.999306e-03	7.317341e-02
1.936844689455697e-02	-8.157602e-03	7.347379e-02
1.944429292968053e-02	-8.317402e-03	7.377717e-02
1.951424589123008e-02	-8.464728e-03	7.405698e-02
1.959211736123478e-02	-8.628603e-03	7.436847e-02
1.966220989177714e-02	-8.775901e-03	7.464884e-02
1.973156792927355e-02	-8.921405e-03	7.492627e-02
1.981796998239460e-02	-9.102417e-03	7.527188e-02
1.989041356298671e-02	-9.254075e-03	7.556166e-02
1.996229722149323e-02	-9.404493e-03	7.584919e-02
2.005001124356198e-02	-9.587917e-03	7.620005e-02
2.012369813032677e-02	-9.741805e-03	7.649479e-02
2.019660895021858e-02	-9.893801e-03	7.678644e-02
2.028001744301378e-02	-1.006742e-02	7.712007e-02
2.035377660276083e-02	-1.022082e-02	7.741511e-02
2.042644056996679e-02	-1.037187e-02	7.770576e-02
2.050527615520537e-02	-1.053567e-02	7.802110e-02
2.058046395648461e-02	-1.069170e-02	7.832186e-02
2.065356156985843e-02	-1.084315e-02	7.861425e-02
2.072769434125732e-02	-1.099649e-02	7.891078e-02
2.080313160729119e-02	-1.115236e-02	7.921252e-02
2.087788179842676e-02	-1.130674e-02	7.951153e-02
2.094889031265623e-02	-1.145332e-02	7.979556e-02
2.102550639223111e-02	-1.161135e-02	8.010203e-02
2.109573792455066e-02	-1.175599e-02	8.038295e-02
2.116527390072420e-02	-1.189895e-02	8.066110e-02
2.124674016015859e-02	-1.206621e-02	8.098696e-02
2.131800513731719e-02	-1.221243e-02	8.127202e-02
2.138864772285842e-02	-1.235731e-02	8.155459e-02
2.147939511132790e-02	-1.254328e-02	8.191758e-02
2.155374931025023e-02	-1.269545e-02	8.221500e-02
2.162744776958903e-02	-1.284599e-02	8.250979e-02
2.171375709879442e-02	-1.302203e-02	8.285503e-02
2.178777085200423e-02	-1.317286e-02	8.315108e-02
2.186077068162362e-02	-1.332156e-02	8.344308e-02
2.194401843243909e-02	-1.349102e-02	8.377607e-02
2.201830573877217e-02	-1.364205e-02	8.407322e-02
2.209137141697681e-02	-1.379033e-02	8.436549e-02
2.217027942239014e-02	-1.395021e-02	8.468112e-02
2.224615015892439e-02	-1.410378e-02	8.498460e-02
2.231963044033947e-02	-1.425244e-02	8.527852e-02
2.239435538413659e-02	-1.440354e-02	8.557742e-02
2.247029359659081e-02	-1.455693e-02	8.588117e-02
2.254530920768261e-02	-1.470821e-02	8.618124e-02
2.261692457172160e-02	-1.485238e-02	8.646770e-02
2.269371212787163e-02	-1.500677e-02	8.677485e-02
2.276440971576577e-02	-1.514884e-02	8.705764e-02
2.283441497687022e-02	-1.528945e-02	8.733766e-02
2.291483470548172e-02	-1.545086e-02	8.765934e-02
2.298610359900621e-02	-1.559369e-02	8.794441e-02
2.305669930011334e-02	-1.573492e-02	8.822680e-02
