time	V(y)	V(square)
8.419318341147175e-03	4.010795e-02	4.000000e+00
8.421242775980886e-03	4.012289e-02	4.000000e+00
8.423056626774894e-03	4.013844e-02	4.000000e+00
8.424892994064237e-03	4.015306e-02	4.000000e+00
8.426726171272492e-03	4.016910e-02	4.000000e+00
8.428650447278585e-03	4.018566e-02	4.000000e+00
8.430809258712202e-03	4.020457e-02	4.000000e+00
8.433405642762182e-03	4.022866e-02	4.000000e+00
8.436746764267866e-03	4.025828e-02	4.000000e+00
8.441487816007509e-03	4.030116e-02	4.000000e+00
8.447925755007191e-03	4.035833e-02	4.000000e+00
8.456484686156784e-03	4.043412e-02	4.000000e+00
8.469578806902689e-03	4.054780e-02	4.000000e+00
8.490464788089014e-03	4.072611e-02	4.000000e+00
8.494296181027039e-03	4.075828e-02	4.000000e+00
8.501958966910195e-03	4.082181e-02	4.000000e+00
8.507858686336078e-03	4.087468e-02	4.000000e+00
8.511675182624856e-03	4.091678e-02	4.000000e+00
8.514992603444682e-03	4.095045e-02	4.000000e+00
8.517609160691109e-03	4.097127e-02	4.000000e+00
8.519752139534376e-03	4.098875e-02	4.000000e+00
8.522007120241426e-03	4.100638e-02	4.000000e+00
8.524285647368401e-03	4.102458e-02	4.000000e+00
8.526790567842113e-03	4.104465e-02	4.000000e+00
8.530157776171166e-03	4.107090e-02	4.000000e+00
8.534446561398568e-03	4.110497e-02	4.000000e+00
8.539133023390377e-03	4.114179e-02	4.000000e+00
8.545022465590080e-03	4.118849e-02	4.000000e+00
8.551695230643475e-03	4.124132e-02	4.000000e+00
8.559649999504870e-03	4.130498e-02	4.000000e+00
8.569069508077121e-03	4.138101e-02	4.000000e+00
8.580816859499407e-03	4.147752e-02	4.000000e+00
8.596252199644994e-03	4.160626e-02	4.000000e+00
8.617679024915503e-03	4.178397e-02	4.000000e+00
8.619690295667226e-03	4.179632e-02	4.000000e+00
8.623712837177777e-03	4.181942e-02	4.000000e+00
8.631757920191774e-03	4.188832e-02	4.000000e+00
8.637109202474846e-03	4.195185e-02	4.000000e+00
8.641562938009884e-03	4.200152e-02	4.000000e+00
8.644429738630777e-03	4.202634e-02	4.000000e+00
8.646336979779790e-03	4.204509e-02	4.000000e+00
8.647821816353485e-03	4.205753e-02	4.000000e+00
8.649187676965653e-03	4.207274e-02	4.000000e+00
8.650594832353420e-03	4.208749e-02	4.000000e+00
8.652097290323013e-03	4.210183e-02	4.000000e+00
8.653608726852724e-03	4.211814e-02	4.000000e+00
8.655053342259578e-03	4.213135e-02	4.000000e+00
8.656420494958184e-03	4.214614e-02	4.000000e+00
8.657770540494880e-03	4.215846e-02	4.000000e+00
8.659150127968473e-03	4.217224e-02	4.000000e+00
8.660678618539919e-03	4.218750e-02	4.000000e+00
8.662544970555075e-03	4.220463e-02	4.000000e+00
8.665150264057786e-03	4.222959e-02	4.000000e+00
8.668565906056358e-03	4.225993e-02	4.000000e+00
8.672663856216900e-03	4.229707e-02	4.000000e+00
8.678062856937174e-03	4.234565e-02	4.000000e+00
8.684695837381184e-03	4.240608e-02	4.000000e+00
8.693180235091802e-03	4.248378e-02	4.000000e+00
8.705189005993930e-03	4.259552e-02	4.000000e+00
8.722968962572963e-03	4.276419e-02	4.000000e+00
8.745545613727757e-03	4.297084e-02	4.000000e+00
8.753027870177732e-03	4.303747e-02	4.000000e+00
8.759720395175918e-03	4.310112e-02	4.000000e+00
8.764076433109835e-03	4.314495e-02	4.000000e+00
8.768059696741659e-03	4.318537e-02	4.000000e+00
8.771497893910407e-03	4.321982e-02	4.000000e+00
8.775008657138983e-03	4.325558e-02	4.000000e+00
8.778349890292247e-03	4.328910e-02	4.000000e+00
8.781793891451173e-03	4.332392e-02	4.000000e+00
8.785570415916766e-03	4.336207e-02	4.000000e+00
8.789962680822327e-03	4.340590e-02	4.000000e+00
8.795775476883705e-03	4.346438e-02	4.000000e+00
8.803575043621947e-03	4.354159e-02	4.000000e+00
8.813024761636257e-03	4.363465e-02	4.000000e+00
8.825926331212486e-03	4.375942e-02	4.000000e+00
8.843868868240179e-03	4.392930e-02	4.000000e+00
8.846563443860589e-03	4.395603e-02	4.000000e+00
8.851952595108514e-03	4.401493e-02	4.000000e+00
8.862730897597260e-03	4.413191e-02	4.000000e+00
8.868875590685832e-03	4.418842e-02	4.000000e+00
8.874370856375435e-03	4.422201e-02	4.000000e+00
8.878874871122377e-03	4.425279e-02	4.000000e+00
8.882020173587080e-03	4.428161e-02	4.000000e+00
8.884168042378349e-03	4.429769e-02	4.000000e+00
8.885880947936187e-03	4.431222e-02	4.000000e+00
8.887456668126958e-03	4.432375e-02	4.000000e+00
8.889068318772786e-03	4.433636e-02	4.000000e+00
8.890873130170007e-03	4.435186e-02	4.000000e+00
8.892920073975574e-03	4.436791e-02	4.000000e+00
8.894778184703966e-03	4.438375e-02	4.000000e+00
8.896767461749278e-03	4.439953e-02	4.000000e+00
8.898602991820326e-03	4.441560e-02	4.000000e+00
8.900451864256809e-03	4.443118e-02	4.000000e+00
8.902320342834003e-03	4.444851e-02	4.000000e+00
8.904226727786124e-03	4.446555e-02	4.000000e+00
8.906315241681284e-03	4.448427e-02	4.000000e+00
8.908726875262118e-03	4.450633e-02	4.000000e+00
8.911716683250859e-03	4.453272e-02	4.000000e+00
8.915767343140146e-03	4.456942e-02	4.000000e+00
8.921752488177503e-03	4.462239e-02	4.000000e+00
8.929068488868097e-03	4.468719e-02	4.000000e+00
8.940132251368027e-03	4.478342e-02	4.000000e+00
8.957256775090627e-03	4.492963e-02	4.000000e+00
8.985945532536732e-03	4.518154e-02	4.000000e+00
8.986210424396290e-03	4.518910e-02	4.000000e+00
8.986740208122512e-03	4.520159e-02	4.000000e+00
8.987637126708137e-03	4.520282e-02	4.000000e+00
8.988326008598335e-03	4.520993e-02	4.000000e+00
8.989111988121579e-03	4.521795e-02	4.000000e+00
8.991504211806500e-03	4.523600e-02	4.000000e+00
8.993145255928425e-03	4.524871e-02	4.000000e+00
8.995155861548199e-03	4.526475e-02	4.000000e+00
8.997900946404513e-03	4.528673e-02	4.000000e+00
9.002008173538911e-03	4.531914e-02	4.000000e+00
9.008268752481285e-03	4.536888e-02	4.000000e+00
9.018906825126294e-03	4.545335e-02	4.000000e+00
9.039910659318195e-03	4.562328e-02	4.000000e+00
9.072138674390828e-03	4.588630e-02	4.000000e+00
9.106705956888561e-03	4.616279e-02	4.000000e+00
9.107195838709004e-03	4.616852e-02	4.000000e+00
9.108175602342783e-03	4.618467e-02	4.000000e+00
9.110135129617447e-03	4.621615e-02	4.000000e+00
9.112402267810182e-03	4.624230e-02	4.000000e+00
9.115422466706491e-03	4.626837e-02	4.000000e+00
9.118229020984359e-03	4.629317e-02	4.000000e+00
9.120896226811226e-03	4.631786e-02	4.000000e+00
9.124179168118474e-03	4.635093e-02	4.000000e+00
9.127711772194402e-03	4.638658e-02	4.000000e+00
9.131988588649165e-03	4.642866e-02	4.000000e+00
9.137527622861796e-03	4.648148e-02	4.000000e+00
9.144827021309254e-03	4.654818e-02	4.000000e+00
9.156722057063860e-03	4.665653e-02	4.000000e+00
9.177541950954549e-03	4.684954e-02	4.000000e+00
9.209762549460265e-03	4.715377e-02	4.000000e+00
9.213288335381264e-03	4.718788e-02	4.000000e+00
9.220339907223263e-03	4.724445e-02	4.000000e+00
9.223497262887292e-03	4.726853e-02	4.000000e+00
9.225999003966479e-03	4.729246e-02	4.000000e+00
9.227764929839566e-03	4.730891e-02	4.000000e+00
9.229447265617807e-03	4.732672e-02	4.000000e+00
9.231159486880358e-03	4.734352e-02	4.000000e+00
9.232914633024336e-03	4.736075e-02	4.000000e+00
9.234936295655416e-03	4.738168e-02	4.000000e+00
9.236981573828018e-03	4.740179e-02	4.000000e+00
9.239093201657056e-03	4.742358e-02	4.000000e+00
9.241220575951559e-03	4.744453e-02	4.000000e+00
9.243340809142353e-03	4.746637e-02	4.000000e+00
9.245524452197174e-03	4.748802e-02	4.000000e+00
9.247794593392200e-03	4.751116e-02	4.000000e+00
9.250253256347207e-03	4.753589e-02	4.000000e+00
9.253018508040611e-03	4.756369e-02	4.000000e+00
9.256271648389713e-03	4.759664e-02	4.000000e+00
9.260304352210369e-03	4.763694e-02	4.000000e+00
9.265557136792779e-03	4.768980e-02	4.000000e+00
9.272764508757803e-03	4.776136e-02	4.000000e+00
9.283125172110829e-03	4.786360e-02	4.000000e+00
9.300587805952887e-03	4.803391e-02	4.000000e+00
9.335148449615360e-03	4.837576e-02	4.000000e+00
9.336071114184108e-03	4.838840e-02	4.000000e+00
9.337916443321603e-03	4.841301e-02	4.000000e+00
9.341607101603699e-03	4.844454e-02	4.000000e+00
9.345601646792545e-03	4.846513e-02	4.000000e+00
9.348893040730388e-03	4.848365e-02	4.000000e+00
9.351237957240244e-03	4.850516e-02	4.000000e+00
9.352996080586706e-03	4.852002e-02	4.000000e+00
9.354616468591814e-03	4.853604e-02	4.000000e+00
9.356279008621016e-03	4.855078e-02	4.000000e+00
9.357965551146208e-03	4.856429e-02	4.000000e+00
9.359947239012456e-03	4.858033e-02	4.000000e+00
9.361953568081560e-03	4.859540e-02	4.000000e+00
9.364018099454086e-03	4.861255e-02	4.000000e+00
9.366089292306867e-03	4.862877e-02	4.000000e+00
9.368147807265359e-03	4.864616e-02	4.000000e+00
9.370259828841654e-03	4.866326e-02	4.000000e+00
9.372449640558500e-03	4.868188e-02	4.000000e+00
9.374811218528123e-03	4.870225e-02	4.000000e+00
9.377542159484165e-03	4.872651e-02	4.000000e+00
9.380858016818650e-03	4.875669e-02	4.000000e+00
9.384996487305841e-03	4.879359e-02	4.000000e+00
9.390606356760145e-03	4.884405e-02	4.000000e+00
9.398449386097241e-03	4.891342e-02	4.000000e+00
9.410502086481642e-03	4.901902e-02	4.000000e+00
9.432733314490349e-03	4.921200e-02	4.000000e+00
9.437025867576665e-03	4.924793e-02	4.000000e+00
9.445610973742191e-03	4.931789e-02	4.000000e+00
9.453321034101236e-03	4.938513e-02	4.000000e+00
9.458224648099645e-03	4.943750e-02	4.000000e+00
9.461548597421654e-03	4.947094e-02	4.000000e+00
9.464245163819385e-03	4.949229e-02	4.000000e+00
9.466256526103223e-03	4.950898e-02	4.000000e+00
9.468378129888322e-03	4.952545e-02	4.000000e+00
9.470431985839411e-03	4.954204e-02	4.000000e+00
9.472633184628876e-03	4.956001e-02	4.000000e+00
9.475766155304655e-03	4.958447e-02	4.000000e+00
9.478807099171149e-03	4.960880e-02	4.000000e+00
9.482402281641100e-03	4.963702e-02	4.000000e+00
9.486302733478169e-03	4.966814e-02	4.000000e+00
9.490513288298530e-03	4.970141e-02	4.000000e+00
9.495106051751634e-03	4.973809e-02	4.000000e+00
9.500011196955427e-03	4.977715e-02	4.000000e+00
9.505344569397778e-03	4.982005e-02	4.000000e+00
9.511122476780542e-03	4.986664e-02	4.000000e+00
9.517435895190829e-03	4.991809e-02	4.000000e+00
9.524431739230010e-03	4.997553e-02	4.000000e+00
9.532399975775263e-03	5.004176e-02	4.000000e+00
9.541677040125762e-03	5.011971e-02	4.000000e+00
9.552939656643389e-03	5.021234e-02	4.000000e+00
9.567229327949178e-03	5.031933e-02	4.000000e+00
9.575469172922624e-03	5.038849e-02	4.000000e+00
