in s,C1 in V,C2 in V
-8.5140E+00,1.14746E+00,4.63867E-01
-8.5122E+00,1.18652E+00,6.59180E-01
-8.5104E+00,1.18652E+00,5.12695E-01
-8.5086E+00,1.18652E+00,5.12695E-01
-8.5068E+00,1.21582E+00,6.59180E-01
-8.5050E+00,1.21582E+00,7.08008E-01
-8.5032E+00,1.25488E+00,7.08008E-01
-8.5014E+00,1.23535E+00,7.08008E-01
-8.4996E+00,1.25488E+00,8.54492E-01
-8.4978E+00,1.28418E+00,7.56836E-01
-8.4960E+00,1.29395E+00,8.54492E-01
-8.4942E+00,1.29395E+00,8.54492E-01
-8.4924E+00,1.32324E+00,1.04980E+00
-8.4906E+00,1.33301E+00,1.00098E+00
-8.4888E+00,1.34277E+00,1.09863E+00
-8.4870E+00,1.32324E+00,1.04980E+00
-8.4852E+00,1.37207E+00,1.04980E+00
-8.4834E+00,1.37207E+00,1.04980E+00
-8.4816E+00,1.39160E+00,1.09863E+00
-8.4798E+00,1.40137E+00,1.19629E+00
-8.4780E+00,1.37207E+00,1.19629E+00
-8.4762E+00,1.45020E+00,1.29395E+00
-8.4744E+00,1.44043E+00,1.39160E+00
-8.4726E+00,1.43066E+00,1.29395E+00
-8.4708E+00,1.45996E+00,1.29395E+00
-8.4690E+00,1.45996E+00,1.39160E+00
-8.4672E+00,1.45020E+00,1.44043E+00
-8.4654E+00,1.47949E+00,1.34277E+00
-8.4636E+00,1.49902E+00,1.48926E+00
-8.4618E+00,1.49902E+00,1.53809E+00
-8.4600E+00,1.52832E+00,1.63574E+00
-8.4582E+00,1.50879E+00,1.58691E+00
-8.4564E+00,1.54785E+00,1.68457E+00
-8.4546E+00,1.53809E+00,1.63574E+00
-8.4528E+00,1.57715E+00,1.73340E+00
-8.4510E+00,1.56738E+00,1.73340E+00
-8.4492E+00,1.59668E+00,1.87988E+00
-8.4474E+00,1.60645E+00,1.92871E+00
-8.4456E+00,1.59668E+00,1.83105E+00
-8.4438E+00,1.59668E+00,1.92871E+00
-8.4420E+00,1.61621E+00,1.97754E+00
-8.4402E+00,1.61621E+00,1.97754E+00
-8.4384E+00,1.64551E+00,2.07520E+00
-8.4366E+00,1.65527E+00,1.97754E+00
-8.4348E+00,1.64551E+00,2.02637E+00
-8.4330E+00,1.70410E+00,2.12402E+00
-8.4312E+00,1.66504E+00,1.97754E+00
-8.4294E+00,1.67480E+00,2.12402E+00
-8.4276E+00,1.68457E+00,2.31934E+00
-8.4258E+00,1.72363E+00,2.27051E+00
-8.4240E+00,1.72363E+00,2.22168E+00
-8.4222E+00,1.73340E+00,2.31934E+00
-8.4204E+00,1.75293E+00,2.31934E+00
-8.4186E+00,1.74316E+00,2.51465E+00
-8.4168E+00,1.77246E+00,2.41699E+00
