in s,C1 in V,C2 in V
-2.307360E+00,8.78906E-02,1.06934E+00
-2.306880E+00,1.26953E-01,1.06934E+00
-2.306400E+00,8.78906E-02,1.04004E+00
-2.305920E+00,8.78906E-02,1.04004E+00
-2.305440E+00,6.83594E-02,1.04004E+00
-2.304960E+00,6.83594E-02,1.04004E+00
-2.304480E+00,1.26953E-01,1.04004E+00
-2.304000E+00,1.26953E-01,1.03027E+00
-2.303520E+00,2.92969E-02,1.02051E+00
-2.303040E+00,6.83594E-02,9.91211E-01
-2.302560E+00,1.07422E-01,1.00098E+00
-2.302080E+00,6.83594E-02,1.00098E+00
-2.301600E+00,4.88281E-02,9.71680E-01
-2.301120E+00,6.83594E-02,9.71680E-01
-2.300640E+00,6.83594E-02,9.91211E-01
-2.300160E+00,6.83594E-02,9.91211E-01
-2.299680E+00,6.83594E-02,9.61914E-01
-2.299200E+00,4.88281E-02,9.81445E-01
-2.298720E+00,6.83594E-02,9.61914E-01
-2.298240E+00,6.83594E-02,9.61914E-01
-2.297760E+00,6.83594E-02,9.71680E-01
-2.297280E+00,2.92969E-02,9.22852E-01
-2.296800E+00,8.78906E-02,9.22852E-01
-2.296320E+00,1.46484E-01,9.03320E-01
-2.295840E+00,6.83594E-02,9.42383E-01
-2.295360E+00,6.83594E-02,9.22852E-01
-2.294880E+00,8.78906E-02,9.13086E-01
-2.294400E+00,1.85547E-01,9.13086E-01
-2.293920E+00,1.26953E-01,8.83789E-01
-2.293440E+00,1.07422E-01,8.83789E-01
-2.292960E+00,1.26953E-01,9.03320E-01
-2.292480E+00,2.05078E-01,8.64258E-01
-2.292000E+00,6.83594E-02,8.83789E-01
-2.291520E+00,1.46484E-01,8.54492E-01
-2.291040E+00,1.46484E-01,8.64258E-01
-2.290560E+00,1.07422E-01,8.54492E-01
-2.290080E+00,2.05078E-01,8.64258E-01
-2.289600E+00,1.66016E-01,8.25195E-01
-2.289120E+00,1.26953E-01,8.15430E-01
-2.288640E+00,1.85547E-01,8.15430E-01
-2.288160E+00,2.05078E-01,8.44727E-01
-2.287680E+00,2.05078E-01,8.25195E-01
-2.287200E+00,2.05078E-01,7.95898E-01
-2.286720E+00,2.05078E-01,7.66602E-01
-2.286240E+00,2.24609E-01,7.86133E-01
-2.285760E+00,1.66016E-01,7.86133E-01
-2.285280E+00,2.24609E-01,7.76367E-01
-2.284800E+00,2.05078E-01,8.15430E-01
-2.284320E+00,2.24609E-01,7.76367E-01
-2.283840E+00,2.05078E-01,7.86133E-01
-2.283360E+00,2.63672E-01,7.66602E-01
-2.282880E+00,2.63672E-01,7.47070E-01
-2.282400E+00,2.24609E-01,7.27539E-01
-2.281920E+00,2.05078E-01,7.37305E-01
-2.281440E+00,2.24609E-01,7.37305E-01
-2.280960E+00,2.63672E-01,6.88477E-01
-2.280480E+00,2.44141E-01,7.47070E-01
-2.280000E+00,2.63672E-01,7.27539E-01
-2.279520E+00,2.44141E-01,6.98242E-01
-2.279040E+00,2.24609E-01,7.17773E-01
-2.278560E+00,3.02734E-01,6.68945E-01
-2.278080E+00,2.63672E-01,6.98242E-01
-2.277600E+00,3.22266E-01,6.98242E-01
-2.277120E+00,2.83203E-01,6.68945E-01
-2.276640E+00,2.83203E-01,6.88477E-01
-2.276160E+00,2.44141E-01,6.68945E-01
-2.275680E+00,3.02734E-01,6.68945E-01
-2.275200E+00,3.02734E-01,6.49414E-01
-2.274720E+00,2.44141E-01,6.68945E-01
-2.274240E+00,3.41797E-01,6.10352E-01
-2.273760E+00,3.41797E-01,6.68945E-01
-2.273280E+00,3.02734E-01,6.49414E-01
-2.272800E+00,3.41797E-01,6.39648E-01
-2.272320E+00,3.22266E-01,6.49414E-01
-2.271840E+00,3.41797E-01,6.10352E-01
-2.271360E+00,3.02734E-01,6.39648E-01
-2.270880E+00,3.22266E-01,6.10352E-01
-2.270400E+00,3.41797E-01,6.00586E-01
-2.269920E+00,3.41797E-01,6.10352E-01
-2.269440E+00,3.22266E-01,6.00586E-01
-2.268960E+00,3.61328E-01,5.90820E-01
-2.268480E+00,4.19922E-01,6.00586E-01
-2.268000E+00,3.61328E-01,6.20117E-01
-2.267520E+00,3.41797E-01,5.90820E-01
-2.267040E+00,3.61328E-01,5.90820E-01
-2.266560E+00,3.61328E-01,5.81055E-01
-2.266080E+00,3.80859E-01,5.51758E-01
-2.265600E+00,3.61328E-01,5.71289E-01
-2.265120E+00,4.00391E-01,5.51758E-01
-2.264640E+00,3.80859E-01,5.32227E-01
-2.264160E+00,4.19922E-01,5.61523E-01
-2.263680E+00,4.19922E-01,5.32227E-01
-2.263200E+00,3.61328E-01,5.51758E-01
-2.262720E+00,3.80859E-01,5.61523E-01
-2.262240E+00,4.58984E-01,5.12695E-01
-2.261760E+00,4.39453E-01,5.02930E-01
-2.261280E+00,4.58984E-01,5.02930E-01
-2.260800E+00,4.00391E-01,5.02930E-01
-2.260320E+00,4.78516E-01,5.02930E-01
-2.259840E+00,4.39453E-01,4.83398E-01
-2.259360E+00,4.98047E-01,5.02930E-01
-2.258880E+00,4.78516E-01,5.02930E-01
-2.258400E+00,4.78516E-01,5.02930E-01
-2.257920E+00,4.39453E-01,4.63867E-01
-2.257440E+00,4.39453E-01,4.54102E-01
-2.256960E+00,4.98047E-01,4.83398E-01
-2.256480E+00,4.39453E-01,4.63867E-01
-2.256000E+00,4.78516E-01,4.44336E-01
-2.255520E+00,4.98047E-01,4.54102E-01
-2.255040E+00,4.78516E-01,4.54102E-01
-2.254560E+00,5.37109E-01,4.63867E-01
-2.254080E+00,5.17578E-01,4.63867E-01
-2.253600E+00,5.37109E-01,4.34570E-01
-2.253120E+00,5.17578E-01,4.15039E-01
-2.252640E+00,4.78516E-01,4.24805E-01
